,Name,Variety,Value,Note,Note_Ind
163,Benjamin Miranda,Pacas,5,Stone Fruit,6
164,Duncan Estate,Gesha,0.1,Stone Fruit,6
165,Addisu Kidane,Ethiopia Heirloom,0.1,Stone Fruit,6
166,Shilcho,Ethiopia Heirloom,5,Stone Fruit,6
167,Los Vascos,"Bourbon, caturra, catimor",5,Stone Fruit,6
168,MONTEBLANCO BOURBON ROSA,Burbon Rosa,0.1,Berry,7
169,HUNAPU,Burbon,0.1,Berry,7
170,EL LIMONCILLO YELLOW PACAMARA,Yellow Pacamara,0.1,Berry,7
171,MERSHA ASSEFA,Ethiopia Heirloom,0.1,Berry,7
172,SANTA CLARA,Burbon,0.1,Berry,7
173,EL VENDAVAL,Catuai,0.1,Berry,7
174,SUMAVA ESPRESSO,Caturra,0.1,Berry,7
175,LA HUERTA,"Burbon, Caturra",0.1,Berry,7
176,KII PEABERRY,"SL28, SL24",0.1,Berry,7
177,LUITO GESHA,Gesha,0.1,Berry,7
178,EVELIA MARIA HONEY GESHA,Gesha,10,Berry,7
179,ELIDA ESTATE GREEN TIP GESHA,Gesha,10,Berry,7
180,Meaza,Ethiopia Heirloom,0.1,Berry,7
181,Bella Aurora,Caturra,0.1,Berry,7
182,EL ESCOBERO AUCTION LOT,Caturra,10,Berry,7
183,Kilenso,Ethiopia Heirloom,0.1,Berry,7
184,Mr. David Mburu,"Ruiru 11, SL 28, SL 34",0.1,Berry,7
185,Finca Las Terrazas,"San Ramon, Bourbon, Caturra",0.1,Berry,7
186,David Mancia,"Pacas, Catimor",10,Berry,7
187,Benjamin Miranda,Pacas,0.1,Berry,7
188,Duncan Estate,Gesha,0.1,Berry,7
189,Addisu Kidane,Ethiopia Heirloom,10,Berry,7
190,Shilcho,Ethiopia Heirloom,10,Berry,7
191,Los Vascos,"Bourbon, caturra, catimor",0.1,Berry,7
192,MONTEBLANCO BOURBON ROSA,Burbon Rosa,0.1,Dried Fruit,8
193,HUNAPU,Burbon,0.1,Dried Fruit,8
194,EL LIMONCILLO YELLOW PACAMARA,Yellow Pacamara,8,Dried Fruit,8
195,MERSHA ASSEFA,Ethiopia Heirloom,0.1,Dried Fruit,8
196,SANTA CLARA,Burbon,0.1,Dried Fruit,8
197,EL VENDAVAL,Catuai,0.1,Dried Fruit,8
198,SUMAVA ESPRESSO,Caturra,0.1,Dried Fruit,8
199,LA HUERTA,"Burbon, Caturra",0.1,Dried Fruit,8
200,KII PEABERRY,"SL28, SL24",0.1,Dried Fruit,8
201,LUITO GESHA,Gesha,0.1,Dried Fruit,8
202,EVELIA MARIA HONEY GESHA,Gesha,0.1,Dried Fruit,8
203,ELIDA ESTATE GREEN TIP GESHA,Gesha,0.1,Dried Fruit,8
204,Meaza,Ethiopia Heirloom,0.1,Dried Fruit,8
205,Bella Aurora,Caturra,0.1,Dried Fruit,8
206,EL ESCOBERO AUCTION LOT,Caturra,0.1,Dried Fruit,8
207,Kilenso,Ethiopia Heirloom,0.1,Dried Fruit,8
208,Mr. David Mburu,"Ruiru 11, SL 28, SL 34",0.1,Dried Fruit,8
209,Finca Las Terrazas,"San Ramon, Bourbon, Caturra",0.1,Dried Fruit,8
210,David Mancia,"Pacas, Catimor",0.1,Dried Fruit,8
211,Benjamin Miranda,Pacas,0.1,Dried Fruit,8
212,Duncan Estate,Gesha,0.1,Dried Fruit,8
213,Addisu Kidane,Ethiopia Heirloom,0.1,Dried Fruit,8
214,Shilcho,Ethiopia Heirloom,0.1,Dried Fruit,8
215,Los Vascos,"Bourbon, caturra, catimor",0.1,Dried Fruit,8
216,MONTEBLANCO BOURBON ROSA,Burbon Rosa,0.1,Chocolate,9
217,HUNAPU,Burbon,0.1,Chocolate,9
218,EL LIMONCILLO YELLOW PACAMARA,Yellow Pacamara,0.1,Chocolate,9
219,MERSHA ASSEFA,Ethiopia Heirloom,0.1,Chocolate,9
220,SANTA CLARA,Burbon,10,Chocolate,9
221,EL VENDAVAL,Catuai,0.1,Chocolate,9
222,SUMAVA ESPRESSO,Caturra,0.1,Chocolate,9
223,LA HUERTA,"Burbon, Caturra",10,Chocolate,9
224,KII PEABERRY,"SL28, SL24",0.1,Chocolate,9
225,LUITO GESHA,Gesha,0.1,Chocolate,9
226,EVELIA MARIA HONEY GESHA,Gesha,0.1,Chocolate,9
227,ELIDA ESTATE GREEN TIP GESHA,Gesha,0.1,Chocolate,9
228,Meaza,Ethiopia Heirloom,0.1,Chocolate,9
229,Bella Aurora,Caturra,7,Chocolate,9
230,EL ESCOBERO AUCTION LOT,Caturra,0.1,Chocolate,9
231,Kilenso,Ethiopia Heirloom,0.1,Chocolate,9
232,Mr. David Mburu,"Ruiru 11, SL 28, SL 34",10,Chocolate,9
233,Finca Las Terrazas,"San Ramon, Bourbon, Caturra",10,Chocolate,9
234,David Mancia,"Pacas, Catimor",0.1,Chocolate,9
235,Benjamin Miranda,Pacas,10,Chocolate,9
236,Duncan Estate,Gesha,0.1,Chocolate,9
237,Addisu Kidane,Ethiopia Heirloom,0.1,Chocolate,9
238,Shilcho,Ethiopia Heirloom,0.1,Chocolate,9
239,Los Vascos,"Bourbon, caturra, catimor",10,Chocolate,9
240,MONTEBLANCO BOURBON ROSA,Burbon Rosa,5,Sugary & Sweet,10
241,HUNAPU,Burbon,7,Sugary & Sweet,10
242,EL LIMONCILLO YELLOW PACAMARA,Yellow Pacamara,7,Sugary & Sweet,10
243,MERSHA ASSEFA,Ethiopia Heirloom,5,Sugary & Sweet,10
244,SANTA CLARA,Burbon,0.1,Sugary & Sweet,10
245,EL VENDAVAL,Catuai,10,Sugary & Sweet,10
246,SUMAVA ESPRESSO,Caturra,5,Sugary & Sweet,10
247,LA HUERTA,"Burbon, Caturra",10,Sugary & Sweet,10
248,KII PEABERRY,"SL28, SL24",0.1,Sugary & Sweet,10
249,LUITO GESHA,Gesha,0.1,Sugary & Sweet,10
250,EVELIA MARIA HONEY GESHA,Gesha,0.1,Sugary & Sweet,10
251,ELIDA ESTATE GREEN TIP GESHA,Gesha,0.1,Sugary & Sweet,10
252,Meaza,Ethiopia Heirloom,5,Sugary & Sweet,10
253,Bella Aurora,Caturra,0.1,Sugary & Sweet,10
254,EL ESCOBERO AUCTION LOT,Caturra,10,Sugary & Sweet,10
255,Kilenso,Ethiopia Heirloom,5,Sugary & Sweet,10
256,Mr. David Mburu,"Ruiru 11, SL 28, SL 34",0.1,Sugary & Sweet,10
257,Finca Las Terrazas,"San Ramon, Bourbon, Caturra",5,Sugary & Sweet,10
258,David Mancia,"Pacas, Catimor",10,Sugary & Sweet,10
259,Benjamin Miranda,Pacas,5,Sugary & Sweet,10
260,Duncan Estate,Gesha,0.1,Sugary & Sweet,10
261,Addisu Kidane,Ethiopia Heirloom,5,Sugary & Sweet,10
262,Shilcho,Ethiopia Heirloom,5,Sugary & Sweet,10
263,Los Vascos,"Bourbon, caturra, catimor",5,Sugary & Sweet,10
264,MONTEBLANCO BOURBON ROSA,Burbon Rosa,0.1,Nut,11
265,HUNAPU,Burbon,0.1,Nut,11
266,EL LIMONCILLO YELLOW PACAMARA,Yellow Pacamara,0.1,Nut,11
267,MERSHA ASSEFA,Ethiopia Heirloom,0.1,Nut,11
268,SANTA CLARA,Burbon,0.1,Nut,11
269,EL VENDAVAL,Catuai,0.1,Nut,11
270,SUMAVA ESPRESSO,Caturra,5,Nut,11
271,LA HUERTA,"Burbon, Caturra",0.1,Nut,11
272,KII PEABERRY,"SL28, SL24",0.1,Nut,11
273,LUITO GESHA,Gesha,0.1,Nut,11
274,EVELIA MARIA HONEY GESHA,Gesha,0.1,Nut,11
275,ELIDA ESTATE GREEN TIP GESHA,Gesha,0.1,Nut,11
276,Meaza,Ethiopia Heirloom,0.1,Nut,11
277,Bella Aurora,Caturra,0.1,Nut,11
278,EL ESCOBERO AUCTION LOT,Caturra,0.1,Nut,11
279,Kilenso,Ethiopia Heirloom,0.1,Nut,11
280,Mr. David Mburu,"Ruiru 11, SL 28, SL 34",0.1,Nut,11
281,Finca Las Terrazas,"San Ramon, Bourbon, Caturra",0.1,Nut,11
282,David Mancia,"Pacas, Catimor",0.1,Nut,11
283,Benjamin Miranda,Pacas,0.1,Nut,11
284,Duncan Estate,Gesha,0.1,Nut,11
285,Addisu Kidane,Ethiopia Heirloom,0.1,Nut,11
286,Shilcho,Ethiopia Heirloom,0.1,Nut,11
287,Los Vascos,"Bourbon, caturra, catimor",0.1,Nut,11
288,MONTEBLANCO BOURBON ROSA,Burbon Rosa,0.1,Grain & Cereal,12
289,HUNAPU,Burbon,0.1,Grain & Cereal,12
290,EL LIMONCILLO YELLOW PACAMARA,Yellow Pacamara,0.1,Grain & Cereal,12
291,MERSHA ASSEFA,Ethiopia Heirloom,0.1,Grain & Cereal,12
292,SANTA CLARA,Burbon,0.1,Grain & Cereal,12
293,EL VENDAVAL,Catuai,0.1,Grain & Cereal,12
294,SUMAVA ESPRESSO,Caturra,0.1,Grain & Cereal,12
295,LA HUERTA,"Burbon, Caturra",0.1,Grain & Cereal,12
296,KII PEABERRY,"SL28, SL24",0.1,Grain & Cereal,12
297,LUITO GESHA,Gesha,0.1,Grain & Cereal,12
